index	chromosome	start	end
1	1	0	3e+05
2	1	3e+05	1300000
3	1	1300000	2300000
4	1	2300000	3300000
5	1	3300000	4300000
6	1	4300000	5300000
7	1	5300000	6300000
8	1	6300000	7300000
9	1	7300000	8300000
10	1	8300000	9300000
11	1	9300000	10300000
12	1	10300000	11300000
13	1	11300000	12300000
14	1	12300000	13300000
15	1	13300000	14300000
16	1	14300000	15300000
17	1	15300000	16300000
18	1	16300000	17300000
19	1	17300000	18300000
20	1	18300000	19300000
21	1	19300000	20300000
22	1	20300000	21300000
23	1	21300000	22300000
24	1	22300000	23300000
25	1	23300000	24300000
26	1	24300000	25300000
27	1	25300000	26300000
28	1	26300000	27300000
29	1	27300000	28300000
30	1	28300000	29300000
31	1	29300000	30300000
32	1	30300000	31300000
33	1	31300000	32300000
34	1	32300000	33300000
35	1	33300000	34300000
36	1	34300000	35300000
37	1	35300000	36300000
38	1	36300000	37300000
39	1	37300000	38300000
40	1	38300000	39300000
41	1	39300000	40300000
42	1	40300000	41300000
43	1	41300000	42300000
44	1	42300000	43300000
45	1	43300000	44300000
46	1	44300000	45300000
47	1	45300000	46300000
48	1	46300000	47300000
49	1	47300000	48300000
50	1	48300000	49300000
51	1	49300000	50300000
52	1	50300000	51300000
53	1	51300000	52300000
54	1	52300000	53300000
55	1	53300000	54300000
56	1	54300000	55300000
57	1	55300000	56300000
58	1	56300000	57300000
59	1	57300000	58300000
60	1	58300000	59300000
61	1	59300000	60300000
62	1	60300000	61300000
63	1	61300000	62300000
64	1	62300000	63300000
65	1	63300000	64300000
66	1	64300000	65300000
67	1	65300000	66300000
68	1	66300000	67300000
69	1	67300000	68300000
70	1	68300000	69300000
71	1	69300000	70300000
72	1	70300000	71300000
73	1	71300000	72300000
74	1	72300000	73300000
75	1	73300000	74300000
76	1	74300000	75300000
77	1	75300000	76300000
78	1	76300000	77300000
79	1	77300000	78300000
80	1	78300000	79300000
81	1	79300000	80300000
82	1	80300000	81300000
83	1	81300000	82300000
84	1	82300000	83300000
85	1	83300000	84300000
86	1	84300000	85300000
87	1	85300000	86300000
88	1	86300000	87300000
89	1	87300000	88300000
90	1	88300000	89300000
91	1	89300000	90300000
92	1	90300000	91300000
93	1	91300000	92300000
94	1	92300000	93300000
95	1	93300000	94300000
96	1	94300000	95300000
97	1	95300000	96300000
98	1	96300000	97300000
99	1	97300000	98300000
100	1	98300000	99300000
101	1	99300000	100300000
102	1	100300000	101300000
103	1	101300000	102300000
104	1	102300000	103300000
105	1	103300000	104300000
106	1	104300000	105300000
107	1	105300000	106300000
108	1	106300000	107300000
109	1	107300000	108300000
110	1	108300000	109300000
111	1	109300000	110300000
112	1	110300000	111300000
113	1	111300000	112300000
114	1	112300000	113300000
115	1	113300000	114300000
116	1	114300000	115300000
117	1	115300000	116300000
118	1	116300000	117300000
119	1	117300000	118300000
120	1	118300000	119300000
121	1	119300000	120300000
122	1	120300000	121300000
123	1	121300000	122300000
124	1	122300000	123300000
125	1	123300000	124300000
126	1	124300000	125300000
127	1	125300000	126300000
128	1	126300000	127300000
129	1	127300000	128300000
130	1	128300000	129300000
131	1	129300000	130300000
132	1	130300000	131300000
133	1	131300000	132300000
134	1	132300000	133300000
135	1	133300000	134300000
136	1	134300000	135300000
137	1	135300000	136300000
138	1	136300000	137300000
139	1	137300000	138300000
140	1	138300000	139300000
141	1	139300000	140300000
142	1	140300000	141300000
143	1	141300000	142300000
144	1	142300000	143300000
145	1	143300000	144300000
146	1	144300000	145300000
147	1	145300000	146300000
148	1	146300000	147300000
149	1	147300000	148300000
150	1	148300000	149300000
151	1	149300000	150300000
152	1	150300000	151300000
153	1	151300000	152300000
154	1	152300000	153300000
155	1	153300000	154300000
156	1	154300000	155300000
157	1	155300000	156300000
158	1	156300000	157300000
159	1	157300000	158300000
160	1	158300000	159300000
161	1	159300000	160300000
162	1	160300000	161300000
163	1	161300000	162300000
164	1	162300000	163300000
165	1	163300000	164300000
166	1	164300000	165300000
167	1	165300000	166300000
168	1	166300000	167300000
169	1	167300000	168300000
170	1	168300000	169300000
171	1	169300000	170300000
172	1	170300000	171300000
173	1	171300000	172300000
174	1	172300000	173300000
175	1	173300000	174300000
176	1	174300000	175300000
177	1	175300000	176300000
178	1	176300000	177300000
179	1	177300000	178300000
180	1	178300000	179300000
181	1	179300000	180300000
182	1	180300000	181300000
183	1	181300000	182300000
184	1	182300000	183300000
185	1	183300000	184300000
186	1	184300000	185300000
187	1	185300000	186300000
188	1	186300000	187300000
189	1	187300000	188300000
190	1	188300000	189300000
191	1	189300000	190300000
192	1	190300000	191300000
193	1	191300000	192300000
194	1	192300000	193300000
195	1	193300000	194300000
196	1	194300000	195300000
197	1	195300000	196300000
198	1	196300000	197300000
199	1	197300000	198300000
200	1	198300000	199300000
201	1	199300000	200300000
202	1	200300000	201300000
203	1	201300000	202300000
204	1	202300000	203300000
205	1	203300000	204300000
206	1	204300000	205300000
207	1	205300000	206300000
208	1	206300000	207300000
209	1	207300000	208300000
210	1	208300000	209300000
211	1	209300000	210300000
212	1	210300000	211300000
213	1	211300000	212300000
214	1	212300000	213300000
215	1	213300000	214300000
216	1	214300000	215300000
217	1	215300000	216300000
218	1	216300000	217300000
219	1	217300000	218300000
220	1	218300000	219300000
221	1	219300000	220300000
222	1	220300000	221300000
223	1	221300000	222300000
224	1	222300000	223300000
225	1	223300000	224300000
226	1	224300000	225300000
227	1	225300000	226300000
228	1	226300000	227300000
229	1	227300000	228300000
230	1	228300000	229300000
231	1	229300000	230300000
232	1	230300000	231300000
233	1	231300000	232300000
234	1	232300000	233300000
235	1	233300000	234300000
236	1	234300000	235300000
237	1	235300000	236300000
238	1	236300000	237300000
239	1	237300000	238300000
240	1	238300000	239300000
